Date,Open,High,Low,Close,Adj Close,Volume
2019-06-05,3900,3900,3900,3900,3900,0
2019-06-06,3900,3900,3900,3900,3900,0
2019-06-07,3900,3900,3900,3900,3900,0
2019-06-10,4000,4060,3970,4040,4040,222522800
2019-06-11,4010,4060,4000,4020,4020,88861700
2019-06-12,3880,3950,3840,3940,3940,134724400
2019-06-13,3940,3990,3900,3990,3990,115734700
2019-06-14,4020,4050,3970,3990,3990,92466800
2019-06-17,3950,3970,3900,3900,3900,60851700
2019-06-18,3890,3990,3890,3980,3980,66112800
2019-06-19,4020,4120,4020,4100,4100,100210400
2019-06-20,4110,4110,4020,4040,4040,57673700
2019-06-21,4010,4040,3950,4040,4040,154049700
2019-06-24,4050,4050,3970,3980,3980,50525100
2019-06-25,4040,4040,4000,4010,4010,42601100
2019-06-26,4020,4050,3980,3980,3980,56092200
2019-06-27,4010,4120,4000,4090,4090,94221200
2019-06-28,4100,4200,4090,4140,4140,130153100
2019-07-01,4200,4240,4170,4220,4220,79382300
2019-07-02,4240,4250,4180,4250,4250,87999800
2019-07-03,4160,4240,4160,4240,4240,63296200
2019-07-04,4190,4260,4190,4250,4250,38459300
2019-07-05,4260,4280,4240,4280,4280,50332800
2019-07-08,4230,4290,4210,4270,4270,57903400
2019-07-09,4300,4370,4270,4350,4350,124822400
2019-07-10,4310,4320,4260,4290,4290,62529900
2019-07-11,4250,4280,4240,4270,4270,25645900
2019-07-12,4240,4250,4170,4180,4180,57088600
2019-07-15,4250,4290,4230,4280,4280,66960500
2019-07-16,4240,4280,4210,4240,4240,45461500
2019-07-17,4250,4260,4220,4230,4230,32069800
2019-07-18,4220,4250,4210,4240,4240,45408100
2019-07-19,4260,4280,4250,4270,4270,60692800
2019-07-22,4250,4270,4230,4260,4260,37513700
2019-07-23,4260,4270,4200,4250,4250,62628100
2019-07-24,4230,4240,4160,4190,4190,73904300
2019-07-25,4160,4240,4160,4210,4210,49276300
2019-07-26,4160,4210,4110,4160,4160,70952400
2019-07-29,4150,4240,4140,4200,4200,54336900
2019-07-30,4280,4300,4260,4270,4270,88417200
2019-07-31,4240,4300,4210,4300,4300,175741000
2019-08-01,4300,4300,4260,4280,4280,94856600
2019-08-02,4280,4300,4250,4280,4280,82253800
2019-08-05,4200,4220,4060,4080,4080,112253200
2019-08-06,4060,4190,4050,4130,4130,108890100
2019-08-07,4230,4270,4170,4210,4210,104785500
2019-08-08,4270,4290,4240,4260,4260,95204000
2019-08-09,4300,4300,4240,4260,4260,89600500
2019-08-12,4300,4320,4230,4260,4260,41817800
2019-08-13,4290,4290,4230,4250,4250,98757900
2019-08-14,4300,4300,4270,4290,4290,84928200
2019-08-15,4200,4290,4200,4290,4290,97255500
2019-08-16,4300,4310,4220,4280,4280,51853900
2019-08-19,4340,4340,4290,4340,4340,86011300
2019-08-20,4350,4470,4340,4470,4470,143171600
2019-08-21,4460,4500,4390,4410,4410,99649300
2019-08-22,4380,4450,4320,4450,4450,110968600
2019-08-23,4390,4450,4340,4380,4380,83823900
2019-08-26,4280,4360,4280,4330,4330,77603200
2019-08-27,4390,4410,4320,4380,4380,168209400
2019-08-28,4430,4430,4350,4370,4370,68091100
2019-08-29,4370,4440,4370,4380,4380,65718900
2019-08-30,4430,4450,4420,4450,4450,95138200
2019-09-02,4440,4450,4400,4410,4410,27531000
2019-09-03,4440,4440,4330,4350,4350,66884700
2019-09-04,4310,4350,4280,4290,4290,78905600
2019-09-05,4290,4360,4290,4320,4320,97098300
2019-09-06,4360,4360,4210,4210,4210,117223300
2019-09-09,4280,4300,4240,4270,4270,47057300
2019-09-10,4300,4300,4250,4270,4270,80403000
2019-09-11,4300,4300,4210,4250,4250,90211600
